id_transacao,id_cliente,valor_transacao,data_hora,canal,categoria,pais_origem,pais_destino,fraude
TX000001,CL2824,93.85,2025-05-27 05:55:39,app,saque,BR,CN,0
TX000002,CL1409,602.02,2025-05-09 09:35:41,app,boleto,BR,NG,0
TX000003,CL5506,263.35,2025-06-08 20:57:15,app,débito,BR,AR,0
TX000004,CL5012,182.59,2025-05-30 18:02:48,web,crédito,BR,NG,0
TX000005,CL4657,33.92,2025-06-06 00:23:41,app,crédito,RU,RU,0
TX000006,CL3286,33.92,2025-05-09 10:02:48,presencial,transferência,BR,AR,0
TX000007,CL2679,11.97,2025-05-23 23:31:22,app,saque,BR,BR,0
TX000008,CL9935,402.25,2025-06-10 08:30:06,web,PIX,US,BR,0
TX000009,CL2424,183.82,2025-05-15 05:20:27,web,transferência,BR,CN,0
TX000010,CL7912,246.25,2025-05-17 03:15:53,web,PIX,BR,NG,0
TX000011,CL1520,4.16,2025-05-21 06:32:34,presencial,saque,US,AR,0
TX000012,CL1488,700.71,2025-05-06 21:02:56,web,transferência,BR,AR,0
TX000013,CL2535,357.29,2025-06-07 12:54:09,presencial,transferência,BR,NG,0
TX000014,CL4582,47.74,2025-05-25 20:59:37,app,crédito,BR,RU,0
TX000015,CL4811,40.14,2025-05-07 18:11:30,web,PIX,BR,BR,0
TX000016,CL9279,40.52,2025-06-05 22:42:55,app,boleto,BR,RU,0
TX000017,CL1434,72.55,2025-06-06 02:53:57,app,boleto,BR,BR,0
TX000018,CL4257,148.79,2025-04-22 20:56:30,app,transferência,BR,AR,0
TX000019,CL9928,113.11,2025-05-22 12:44:11,app,saque,BR,CN,0
TX000020,CL7873,68.84,2025-05-31 14:41:30,app,transferência,BR,BR,0
TX000021,CL4611,189.27,2025-05-07 18:49:35,app,crédito,BR,US,0
TX000022,CL8359,30.05,2025-05-11 15:57:15,app,PIX,BR,AR,0
TX000023,CL5557,69.1,2025-05-27 20:15:00,presencial,transferência,BR,NG,0
TX000024,CL1106,91.26,2025-05-08 18:21:01,app,saque,BR,NG,0
TX000025,CL3615,121.79,2025-04-19 20:25:51,web,boleto,BR,RU,0
TX000026,CL7924,307.59,2025-05-10 22:33:35,app,PIX,BR,RU,0
TX000027,CL6574,2227.5,2025-06-04 13:09:54,presencial,transferência,BR,AR,0
TX000028,CL5552,144.41,2025-05-03 02:24:28,presencial,PIX,BR,RU,0
TX000029,CL3547,179.5,2025-05-27 05:33:28,web,crédito,BR,RU,0
TX000030,CL4527,9.51,2025-05-01 09:27:16,web,boleto,CN,AR,0
TX000031,CL6514,187.07,2025-05-27 02:54:56,app,saque,BR,BR,0
TX000032,CL2674,37.39,2025-06-05 19:40:25,presencial,PIX,BR,AR,0
TX000033,CL2519,13.45,2025-04-30 01:00:51,presencial,boleto,BR,AR,0
TX000034,CL7224,594.74,2025-05-19 05:47:51,presencial,transferência,BR,RU,0
TX000035,CL2584,674.13,2025-05-13 06:10:20,web,saque,BR,US,0
TX000036,CL6881,330.47,2025-05-28 01:54:01,app,saque,BR,NG,0
TX000037,CL6635,72.66,2025-06-02 14:40:39,presencial,débito,BR,RU,0
TX000038,CL5333,20.56,2025-05-17 11:04:20,app,PIX,BR,BR,0
TX000039,CL1711,230.55,2025-05-30 03:13:46,web,boleto,CN,CN,0
TX000040,CL8527,116.02,2025-05-08 22:21:27,app,PIX,NG,BR,0
TX000041,CL9785,26.03,2025-06-01 13:55:22,presencial,transferência,BR,NG,0
TX000042,CL3045,136.71,2025-04-29 09:37:21,app,transferência,BR,CN,0
TX000043,CL7201,7.0,2025-05-19 12:44:14,app,saque,US,AR,0
TX000044,CL2291,480.08,2025-05-14 13:15:53,web,saque,BR,US,0
TX000045,CL5803,,2025-04-27 01:53:03,web,boleto,BR,US,0
TX000046,CL6925,217.25,2025-05-01 06:54:28,web,crédito,BR,NG,0
TX000047,CL4150,74.71,2025-05-22 05:39:53,app,PIX,BR,RU,0
TX000048,CL2139,146.82,2025-04-29 00:15:07,app,PIX,RU,NG,0
TX000049,CL1750,158.24,2025-04-23 04:51:04,web,transferência,BR,US,0
TX000050,CL4733,40.88,2025-04-19 01:27:02,presencial,PIX,BR,CN,0
TX000051,CL5741,698.56,2025-06-12 15:25:00,presencial,boleto,BR,CN,0
TX000052,CL2307,298.45,2025-06-09 06:50:36,app,débito,US,RU,0
TX000053,CL4814,561.02,2025-05-12 17:32:05,presencial,saque,BR,BR,0
TX000054,CL2654,450.43,2025-06-06 15:57:30,app,transferência,BR,AR,0
TX000055,CL7227,182.21,2025-04-29 10:15:51,web,saque,RU,RU,0
TX000056,CL5554,509.89,2025-06-12 09:39:05,app,saque,BR,CN,0
TX000057,CL8428,18.53,2025-05-19 02:06:06,app,saque,BR,AR,0
TX000058,CL6977,43.63,2025-05-21 02:57:50,web,débito,BR,NG,0
TX000059,CL3664,9.26,2025-06-14 03:52:33,web,PIX,BR,CN,0
TX000060,CL7065,78.71,2025-04-30 19:18:21,app,crédito,BR,CN,0
TX000061,CL6820,98.43,2025-05-07 22:45:31,app,saque,BR,CN,0
TX000062,CL4432,63.31,2025-05-22 05:00:45,app,boleto,BR,BR,0
TX000063,CL5374,352.91,2025-05-20 14:40:50,web,saque,BR,RU,0
TX000064,CL2169,88.25,2025-05-25 05:28:15,app,saque,BR,NG,0
TX000065,CL3803,65.96,2025-05-31 20:57:53,app,PIX,BR,US,0
TX000066,CL9751,156.48,2025-05-26 01:07:38,web,boleto,RU,BR,0
TX000067,CL5010,30.38,2025-06-06 16:26:49,web,PIX,BR,BR,0
TX000068,CL3677,324.1,2025-05-01 05:16:34,web,saque,BR,CN,0
TX000069,CL8573,15.5,2025-05-16 15:01:10,web,PIX,BR,BR,0
TX000070,CL7216,866.83,2025-04-20 02:28:31,presencial,PIX,BR,RU,0
TX000071,CL5422,295.9,2025-06-16 07:44:28,,transferência,BR,RU,0
TX000072,CL4598,44.31,2025-04-22 12:30:39,presencial,débito,BR,RU,0
TX000073,CL6313,1.11,2025-05-05 14:29:31,web,crédito,BR,US,0
TX000074,CL1916,337.98,2025-05-08 16:23:00,app,débito,BR,BR,0
TX000075,CL4752,245.42,2025-04-18 03:12:55,presencial,débito,BR,RU,0
TX000076,CL1525,261.13,2025-06-04 22:55:11,app,boleto,BR,BR,0
